"wso_id";"name_short";"sea_cd";"area_km2";"zone"
1067246;"";2;2.30000000000;""
1038248;"";5;178.800000000;"NS"
1136228;"SE_Inla";5;25.1000000000;"NS"
1060408;"";2;2.80000000000;""
1132184;"";5;8.50000000000;"NS"
1122831;"";5;8.70000000000;"NS"
1052274;"";5;46.2000000000;"NS"
1093475;"";2;3.50000000000;""
1049238;"";5;14.8000000000;"NS"
1082430;"";2;11.8000000000;""
1055965;"";5;23.5000000000;"NS"
1096115;"";2;12.1000000000;""
1111370;"";5;3.00000000000;"NS"
1119370;"";5;7.50000000000;"NS"
1038741;"";5;75.6000000000;"NS"
1067159;"";2;5.00000000000;""
1059695;"";2;14.8000000000;""
1059694;"";2;5.10000000000;""
1049108;"";2;19.7000000000;""
1052772;"";5;7.50000000000;"NS"
1119854;"";5;1.60000000000;"NS"
1038257;"";5;86.5000000000;"NS"
1107276;"";5;5.00000000000;"NS"
1108436;"";5;2.90000000000;"NS"
1040985;"";2;10.2000000000;""
1071459;"";2;4.70000000000;""
1048988;"";2;22.6000000000;""
